요구사항ID,기능명,카테고리,대상공정,우선순위,필수여부,현행시스템,비고
FR-001,통합 생산계획 수립,APS,전체,P1,필수,APS 단독,월간/주간/일간 계획 단일 화면
FR-002,제약조건 기반 스케줄링,APS,전체,P1,필수,부분 지원,"두께점프,강종전환,롤교체,에너지 최적화"
FR-003,실시간 스케줄 조정,APS,전체,P1,필수,미지원,"Gantt,What-if,자동재스케줄링"
FR-004,수주-생산 연계,APS,전체,P1,필수,배치연동,SAP RFC/BAPI 실시간
FR-005,작업지시 관리,MES,전체,P1,필수,MES,자동생성+큐관리+상태관리
FR-006,코일 추적 관리,MES,전체,P1,필수,부분 지원,"실시간 위치,분할/합병,계보관리"
FR-007,실시간 조업데이터 수집,MES,"PCM,CAL,EGL,CGL",P1,필수,Level2 직접,OPC-UA 1초 주기
FR-008,품질 관리,MES,전체,P1,필수,부분 지원,"SPC,자동판정,자동Hold,클레임연계"
FR-009,설비 관리 연동,MES,전체,P2,필수,미지원,"상태모니터링,OEE,롤교체이력"
FR-010,재공품(WIP) 관리,MES,전체,P2,필수,부분 지원,"야드관리,체류시간,이송지시"
FR-011,통합 대시보드,통합,전체,P1,필수,미지원,Digital Twin 개념
FR-012,KPI 관리,통합,전체,P2,필수,수작업,"OEE,납기준수율,수율,불량률"
FR-013,데이터 분석/리포트,통합,전체,P2,선택,수작업,"생산일보,Ad-hoc,BI연동"
FR-014,시스템 연동,통합,전체,P1,필수,EAI,"ERP,L2,LIMS,WMS,EMS"
FR-015,에너지 최적화 스케줄링,APS,"CAL,EGL,CGL",P2,선택,미지원,피크/비피크 전력요금 반영
FR-016,품질 예측 모델,MES,"PCM,CAL",P3,선택,미지원,AI/ML 기반 품질 예측
FR-017,모바일 알림,통합,전체,P3,선택,미지원,관리자용 웹 알림
FR-018,다국어 지원,통합,전체,P3,선택,미지원,"한국어,영어,일본어"
FR-019,전자 품질 성적서,MES,전체,P2,필수,수작업,고객별 자동 생성
FR-020,원가 분석 연동,통합,전체,P3,선택,미지원,ERP 원가 데이터 연계
