제약ID,제약유형,대상공정,제약명,상세설명,파라미터,우선순위,현행반영여부,비고
CR-001,설비능력,PCM,처리 가능 규격 범위,"두께: 0.15~3.2mm, 폭: 600~1850mm, 최대코일중량: 35톤","min_thickness=0.15, max_thickness=3.2, min_width=600, max_width=1850, max_weight=35000",P1,미반영,강종별 추가 제한 있음
CR-002,연속작업,PCM,두께 점프 제한,연속 코일 간 두께 차이 0.3mm 이내 (고강도강 0.2mm),max_jump=0.3 (고강도강 0.2),P1,미반영,품질/롤수명 직결
CR-003,연속작업,PCM,폭 변경 규칙,"폭은 넓은것→좁은것 순서 권장, 최대 폭점프 200mm",direction=wide_to_narrow max_jump=200,P1,미반영,에지 품질 영향
CR-004,연속작업,PCM,강종 전환 순서,"저탄소→중탄소→고탄소 순서, 역방향 시 롤 세정 필요",sequence=low_to_high reverse_requires_cleaning=true,P1,미반영,롤 세정 시 30분 추가
CR-005,설비정비,PCM,워크롤 교체 주기,"일반강: 80km, 고강도강: 60km, 스테인리스: 40km 압연 거리 기준","normal=80km, high_strength=60km, stainless=40km",P1,일괄 30분 적용,강종별 차등 미반영
CR-006,설비정비,PCM,백업롤 교체 주기,400km 압연 거리 기준 교체,interval=400km,P2,반영,교체 시간 4시간
CR-007,장입패턴,BAF,코일 적재 최적화,"4단 적재 시 강종/규격 유사 코일 조합, 무게 균형 고려",max_stack=4 weight_balance=true similar_spec=true,P1,미반영,소둔 품질 직결
CR-008,열처리,BAF,소둔 사이클 시간,"강종별 소둔 사이클: 일반강 48hr, 고강도강 72hr","normal=48hr, high_strength=72hr",P2,부분반영,온도 프로파일 복잡
CR-009,연속작업,CAL,강종 전환 규칙,"소둔 온도 변경 시 안정화 시간 필요: 50℃ 이내 변경 15분, 50~100℃ 변경 30분, 100℃ 초과 45분","delta_50=15min, delta_100=30min, delta_over100=45min",P1,미반영,에너지/시간 손실
CR-010,연속작업,EGL,도금량 전환,도금량 변경 시 전환 시간 20분 + 스크랩 발생,changeover=20min scrap=true,P1,미반영,전환 횟수 최소화 필요
CR-011,연속작업,CGL,도금욕 온도 관리,"도금욕 온도 460±5℃ 유지, 합금화 시 520℃ 전환 30분","normal=460±5, galvanneal=520, transition=30min",P1,미반영,도금 품질 직결
CR-012,물류,공정간,코일 이송 시간,"PCM→BAF: 2hr, PCM→CAL: 1hr, CAL→EGL: 1.5hr, CAL→SPM: 0.5hr","PCM_BAF=120min, PCM_CAL=60min, CAL_EGL=90min, CAL_SPM=30min",P1,미반영,현재 0분으로 가정
CR-013,에너지,CAL/EGL/CGL,피크 시간대 회피,"전력 피크(14:00~17:00) 시 고에너지 강종 스케줄링 회피, 비피크 시간 활용",peak=14:00-17:00 avoid_high_energy=true,P2,미반영,연간 수억원 절감 가능
CR-014,설비능력,CGL,도금욕 교체 주기,아연욕 수명 약 2주(연속 가동 기준) 교체 시 8시간 소요,life=14days changeover=8hr,P2,미반영,계획 정비와 연계 필요
CR-015,품질,전체,코일 체류 시간 제한,"공정 간 최대 체류 시간: PCM 출측 48hr, CAL 출측 24hr 초과 시 품질 저하 우려","PCM_out=48hr, CAL_out=24hr",P2,미반영,재산화/오염 방지
